-0.01428223,-0.00915527,1.02465820
-0.01477051,-0.00891113,1.02539062
-0.01416016,-0.00842285,1.02673340
-0.01416016,-0.00891113,1.02551270
-0.01428223,-0.00891113,1.02636719
-0.01428223,-0.00854492,1.02624512
-0.01477051,-0.00891113,1.02722168
-0.01464844,-0.00817871,1.02612305
-0.01416016,-0.00817871,1.02709961
-0.01428223,-0.00732422,1.02636719
-0.01403809,-0.00708008,1.02661133
-0.01440430,-0.00854492,1.02783203
-0.01538086,-0.00939941,1.02368164
-0.01525879,-0.00988770,1.02612305
-0.01513672,-0.00891113,1.02722168
-0.01586914,-0.00988770,1.02685547
-0.01599121,-0.00939941,1.02783203
-0.01599121,-0.00915527,1.02746582
-0.01599121,-0.01062012,1.02709961
-0.01525879,-0.01013184,1.02600098
-0.01611328,-0.01049805,1.02661133
-0.01574707,-0.01086426,1.02685547
-0.01611328,-0.01171875,1.02832031
-0.01574707,-0.01171875,1.02697754
-0.00769043,-0.03625488,1.02099609
-0.20678711,-0.01110840,1.02917480
-0.32910156,0.03063965,1.03540039
-0.34533691,-0.00366211,1.02587891
-0.23901367,-0.01342773,1.02246094
-0.15478516,-0.00354004,1.02819824
-0.05261230,-0.01586914,1.02709961
0.06982422,-0.04736328,1.02246094
0.19726562,-0.01257324,1.02502441
0.29711914,0.00866699,1.03015137
0.41760254,-0.05444336,1.03063965
0.31652832,-0.03613281,1.02734375
0.09057617,-0.01550293,1.02539062
-0.01245117,-0.01733398,1.02624512
-0.00903320,-0.01599121,1.02905273
-0.00952148,-0.01611328,1.02758789
-0.01013184,-0.01464844,1.02709961
-0.01074219,-0.01379395,1.02697754
-0.01000977,-0.01281738,1.02673340
-0.01049805,-0.01452637,1.02722168
-0.00769043,-0.01464844,1.02648926
-0.00817871,-0.01794434,1.02990723
-0.00659180,-0.01635742,1.02441406
-0.00793457,-0.01696777,1.02685547
-0.00891113,-0.01696777,1.02648926
-0.00866699,-0.01599121,1.02661133
-0.00842285,-0.01586914,1.02624512
-0.00903320,-0.01611328,1.02636719
-0.01000977,-0.01770020,1.02709961
-0.00964355,-0.01733398,1.02697754
-0.00927734,-0.01672363,1.02697754
-0.00976563,-0.01708984,1.02636719
-0.01025391,-0.01745605,1.02783203
-0.01025391,-0.01782227,1.02685547
-0.02807617,0.00671387,1.03186035
0.46179199,-0.16894531,1.03112793
0.19091797,-0.00573730,1.01354980
-0.03686523,0.05102539,1.02551270
0.07482910,-0.01110840,1.02502441
0.02294922,-0.01855469,1.03845215
-0.05554199,-0.04260254,1.02087402
-0.09594727,-0.04052734,1.02770996
-0.16552734,0.00976563,1.02722168
-0.23657227,-0.03540039,1.03247070
-0.26196289,-0.04992676,1.02490234
-0.28503418,-0.07189941,1.02600098
-0.01062012,-0.03613281,1.02905273
-0.05297852,-0.00476074,1.02087402
-0.15344238,-0.03503418,1.02648926
-0.01855469,-0.01843262,1.03039551
-0.01550293,-0.01843262,1.02441406
-0.01635742,-0.01745605,1.02648926
0.02001953,-0.03637695,1.02832031
-0.10949707,0.00439453,1.02453613
-0.01538086,-0.01818848,1.02819824
-0.01513672,-0.02307129,1.02551270
-0.01623535,-0.01977539,1.02478027
-0.01745605,-0.01782227,1.02941895
-0.01696777,-0.01818848,1.02770996
-0.01843262,-0.01794434,1.02673340
-0.01672363,-0.01855469,1.02685547
-0.01696777,-0.01757813,1.02624512
-0.01696777,-0.01757813,1.02612305
-0.01660156,-0.01745605,1.02600098
-0.01684570,-0.01660156,1.02355957
-0.01672363,-0.01696777,1.03137207
-0.01843262,-0.01708984,1.02734375
-0.01574707,-0.01733398,1.02539062